policy,task_id,replicate,run_id,recipe,task_class,status,success,verifier_pass,verifier_passes,verifier_total,verifier_reasons,reviewer_verdicts,reviewer_accept,task_cost_usd,llm_cost_usd,duration_s,llm_call_count,failed_llm_call_count,input_tokens,output_tokens,expensive_call_count,distinct_provider_count,providers,retry_event_count,plan_fallback,zero_stdout_artifact_count
frontier_only,docs-001,1,trace-budget-fixtures-20260611-24c-frontier_only-docs-001-r1,docs,docs,published,1,1,2,2,,,0,0.386873,0.757798,69.0,5,0,14,1069,5,1,anthropic,0,0,0
cheap_only,docs-001,1,trace-budget-fixtures-20260611-24c-cheap_only-docs-001-r1,docs,docs,published,1,1,1,1,,,0,0.451264,0.626916,77.0,2,0,59056,1800,1,2,"anthropic,gateway",0,0,0
static_hybrid,docs-001,1,trace-budget-fixtures-20260611-24c-static_hybrid-docs-001-r1,docs,docs,published,1,1,2,2,,,0,0.2228,0.403684,68.0,2,0,8525,1955,1,2,"anthropic,gateway",0,0,0
trace_governed,docs-001,1,trace-budget-fixtures-20260611-24c-trace_governed-docs-001-r1,docs,docs,published,1,1,2,2,,,0,0.227148,0.408544,62.0,2,0,10615,1764,1,2,"anthropic,gateway",0,0,0
frontier_only,docs-002,1,trace-budget-fixtures-20260611-24c-frontier_only-docs-002-r1,docs,docs,published,1,1,2,2,,,0,0.387762,0.562452,67.0,5,0,14,984,5,1,anthropic,0,0,0
cheap_only,docs-002,1,trace-budget-fixtures-20260611-24c-cheap_only-docs-002-r1,docs,docs,published,1,1,1,1,,,0,0.251841,0.427225,69.0,2,0,8617,1704,1,2,"anthropic,gateway",0,0,0
static_hybrid,docs-002,1,trace-budget-fixtures-20260611-24c-static_hybrid-docs-002-r1,docs,docs,published,1,1,2,2,,,0,0.236464,0.412748,70.0,2,0,8906,2214,1,2,"anthropic,gateway",0,0,0
trace_governed,docs-002,1,trace-budget-fixtures-20260611-24c-trace_governed-docs-002-r1,docs,docs,published,1,1,2,2,,,0,0.190509,0.364374,59.0,2,0,8243,1589,1,2,"anthropic,gateway",0,0,0
frontier_only,docs-003,1,trace-budget-fixtures-20260611-24c-frontier_only-docs-003-r1,docs,docs,published,1,1,1,1,,,0,0.383854,0.556376,65.0,5,0,14,902,5,1,anthropic,0,0,0
cheap_only,docs-003,1,trace-budget-fixtures-20260611-24c-cheap_only-docs-003-r1,docs,docs,published,1,1,2,2,,,0,0.228118,0.401164,67.0,2,0,8558,1830,1,2,"anthropic,gateway",0,0,0
static_hybrid,docs-003,1,trace-budget-fixtures-20260611-24c-static_hybrid-docs-003-r1,docs,docs,published,1,1,2,2,,,0,0.222095,0.401266,63.0,2,0,8484,1854,1,2,"anthropic,gateway",0,0,0
trace_governed,docs-003,1,trace-budget-fixtures-20260611-24c-trace_governed-docs-003-r1,docs,docs,published,1,1,2,2,,,0,0.255659,0.434837,69.0,2,0,8750,1976,1,2,"anthropic,gateway",0,0,0
frontier_only,code-fix-001,1,trace-budget-fixtures-20260611-24c-frontier_only-code-fix-001-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.734695,1.049145,132.0,9,0,25,3234,9,1,anthropic,0,0,0
cheap_only,code-fix-001,1,trace-budget-fixtures-20260611-24c-cheap_only-code-fix-001-r1,code-fix,code_fix,published,1,1,2,2,,APPROVE,1,0.608381,0.869892,187.0,3,0,22529,6832,1,2,"anthropic,gateway",0,0,0
static_hybrid,code-fix-001,1,trace-budget-fixtures-20260611-24c-static_hybrid-code-fix-001-r1,code-fix,code_fix,published,1,1,2,2,,needs_revision,0,0.65326,0.924093,119.0,3,0,59247,2843,2,2,"anthropic,gateway",0,0,0
trace_governed,code-fix-001,1,trace-budget-fixtures-20260611-24c-trace_governed-code-fix-001-r1,code-fix,code_fix,published,1,1,2,2,,needs_revision,0,0.556248,0.770338,149.0,3,0,10503,4843,2,2,"anthropic,gateway",0,0,0
frontier_only,code-fix-002,1,trace-budget-fixtures-20260611-24c-frontier_only-code-fix-002-r1,code-fix,code_fix,published,1,1,2,2,,needs_revision,0,0.596333,0.814205,115.0,5,0,19,2695,5,1,anthropic,0,0,0
cheap_only,code-fix-002,1,trace-budget-fixtures-20260611-24c-cheap_only-code-fix-002-r1,code-fix,code_fix,published,1,1,2,2,,APPROVE,1,0.92539,1.14518,354.0,3,0,27948,12978,1,2,"anthropic,gateway",0,0,0
static_hybrid,code-fix-002,1,trace-budget-fixtures-20260611-24c-static_hybrid-code-fix-002-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.792078,1.019243,163.0,10,0,10499,4619,9,2,"anthropic,gateway",0,0,0
trace_governed,code-fix-002,1,trace-budget-fixtures-20260611-24c-trace_governed-code-fix-002-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.565653,0.840588,134.0,5,0,9024,3030,4,2,"anthropic,gateway",0,0,0
frontier_only,code-fix-003,1,trace-budget-fixtures-20260611-24c-frontier_only-code-fix-003-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.92536,1.160617,153.0,14,0,29,2604,14,1,anthropic,0,0,0
cheap_only,code-fix-003,1,trace-budget-fixtures-20260611-24c-cheap_only-code-fix-003-r1,code-fix,code_fix,published,1,1,2,2,,APPROVE,1,0.718715,0.909636,221.0,3,0,24060,7003,1,2,"anthropic,gateway",0,0,0
static_hybrid,code-fix-003,1,trace-budget-fixtures-20260611-24c-static_hybrid-code-fix-003-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.672219,0.952495,171.0,6,0,10480,3437,5,2,"anthropic,gateway",0,0,0
trace_governed,code-fix-003,1,trace-budget-fixtures-20260611-24c-trace_governed-code-fix-003-r1,code-fix,code_fix,published,1,1,2,2,,pass,1,0.670825,0.877302,154.0,7,0,9620,3972,6,2,"anthropic,gateway",0,0,0
